일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2018/01/02","2479.65","12.16","0.49","2474.86","2481.02","2465.94","262205.0","4786387.0","1.613508197E9"
"2017/12/28","2467.49","30.82","1.26","2439.31","2467.51","2437.26","220336.0","4274352.0","1.605820912E9"
"2017/12/27","2436.67","9.33","0.38","2420.86","2436.68","2411.48","194850.0","4845394.0","1.584816761E9"
"2017/12/26","2427.34","-13.20","-0.54","2447.67","2457.19","2427.34","224641.0","5641603.0","1.57838611E9"
"2017/12/22","2440.54","10.71","0.44","2437.59","2444.57","2426.94","230413.0","4801820.0","1.587459773E9"
"2017/12/21","2429.83","-42.54","-1.72","2471.34","2471.73","2429.83","247330.0","5351502.0","1.579690639E9"
"2017/12/20","2472.37","-6.16","-0.25","2473.82","2484.50","2470.62","236176.0","4748794.0","1.607733542E9"
"2017/12/19","2478.53","-3.35","-0.13","2487.83","2498.67","2470.49","308391.0","5239923.0","1.612412731E9"
"2017/12/18","2481.88","-0.19","-0.01","2488.83","2488.83","2477.29","324358.0","4477139.0","1.614248576E9"
"2017/12/15","2482.07","12.59","0.51","2488.39","2495.08","2475.99","340759.0","6047302.0","1.614080829E9"
"2017/12/14","2469.48","-11.07","-0.45","2486.57","2514.61","2469.48","317787.0","8276523.0","1.606804196E9"
"2017/12/13","2480.55","19.55","0.79","2462.42","2481.92","2457.70","254953.0","5121323.0","1.613324381E9"
"2017/12/12","2461.00","-10.49","-0.42","2471.23","2471.43","2455.39","281191.0","5292539.0","1.601445482E9"
"2017/12/11","2471.49","7.49","0.30","2467.81","2471.99","2457.98","240138.0","4613094.0","1.607943365E9"
"2017/12/08","2464.00","2.02","0.08","2470.09","2473.17","2459.02","406382.0","5484859.0","1.602767069E9"
"2017/12/07","2461.98","-12.39","-0.50","2479.55","2480.85","2452.40","404854.0","6307570.0","1.598885756E9"
"2017/12/06","2474.37","-35.75","-1.42","2510.19","2510.47","2474.29","507624.0","6651308.0","1.605164242E9"
"2017/12/05","2510.12","8.45","0.34","2490.73","2513.68","2487.15","395430.0","5926806.0","1.62783954E9"
"2017/12/04","2501.67","26.26","1.06","2486.72","2501.67","2476.29","323847.0","6056436.0","1.622966082E9"
"2017/12/01","2475.41","-0.96","-0.04","2488.92","2488.92","2472.75","288568.0","5740174.0","1.606563651E9"
"2017/11/30","2476.37","-36.53","-1.45","2502.22","2506.32","2474.28","339022.0","9397572.0","1.607169301E9"
"2017/11/29","2512.90","-1.29","-0.05","2517.26","2524.41","2508.66","301209.0","5277563.0","1.630844154E9"
"2017/11/28","2514.19","6.38","0.25","2512.52","2521.06","2500.93","348243.0","6518926.0","1.631775248E9"
"2017/11/27","2507.81","-36.52","-1.44","2544.74","2546.71","2506.69","284887.0","6257121.0","1.627300681E9"
"2017/11/24","2544.33","7.18","0.28","2539.79","2544.33","2533.98","297938.0","4477301.0","1.652408594E9"
"2017/11/23","2537.15","-3.36","-0.13","2542.34","2544.58","2532.45","391292.0","5174189.0","1.647721422E9"
"2017/11/22","2540.51","9.81","0.39","2546.61","2553.22","2535.19","485671.0","7600112.0","1.649978496E9"
"2017/11/21","2530.70","3.03","0.12","2533.85","2539.88","2525.96","484887.0","7019797.0","1.64252334E9"
"2017/11/20","2527.67","-6.32","-0.25","2536.80","2542.62","2523.52","404260.0","5868466.0","1.640426169E9"
"2017/11/17","2533.99","-0.80","-0.03","2546.05","2559.10","2533.99","362192.0","6649669.0","1.644529849E9"
"2017/11/16","2534.79","16.54","0.66","2522.42","2538.28","2514.51","302931.0","5633182.0","1.645491389E9"
"2017/11/15","2518.25","-8.39","-0.33","2525.60","2526.61","2511.76","398215.0","7283457.0","1.634963776E9"
"2017/11/14","2526.64","-3.71","-0.15","2532.55","2532.95","2520.99","287772.0","5999102.0","1.640671062E9"
"2017/11/13","2530.35","-12.60","-0.50","2548.27","2552.28","2527.20","266531.0","6175704.0","1.644648379E9"
"2017/11/10","2542.95","-7.62","-0.30","2541.18","2547.61","2534.60","291525.0","5517622.0","1.65257727E9"
"2017/11/09","2550.57","-1.83","-0.07","2559.93","2559.93","2536.54","293540.0","6931784.0","1.657645911E9"
