일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2015-10-14",KAU15,"11,300",0,"0.00","0","0","0","0","0","0"
"2015-10-14",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-14",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-14",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-10-13",KAU15,"11,300",0,"0.00","0","0","0","0","0","0"
"2015-10-13",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-13",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-13",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-10-12",KAU15,"11,300",0,"0.00","0","0","0","0","0","0"
"2015-10-12",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-12",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-12",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-10-08",KAU15,"11,300",0,"0.00","0","0","0","168,000","2,024,400,000","12,050"
"2015-10-08",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-08",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-08",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-10-07",KAU15,"11,300",1000,"9.71","11,300","11,300","11,300","12,000","135,600,000","11,300"
"2015-10-07",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-07",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-07",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-10-06",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-10-06",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-06",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-06",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-10-05",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-10-05",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-05",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-05",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-10-02",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-10-02",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-02",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-02",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-10-01",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-10-01",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-01",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-10-01",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-30",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-30",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-30",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-30",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-25",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-25",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-25",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-25",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-24",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-24",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-24",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-24",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-23",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-23",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-23",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-23",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-22",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-22",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-22",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-22",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-21",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-21",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-21",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-21",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-18",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-18",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-18",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-18",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-17",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-17",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-17",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-17",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-16",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-16",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-16",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-16",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-15",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-15",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-15",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-15",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-14",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-14",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-14",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-14",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
"2015-09-11",KAU15,"10,300",0,"0.00","0","0","0","0","0","0"
"2015-09-11",KAU16,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-11",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2015-09-11",KCU15,"10,550",0,"0.00","0","0","0","0","0","0"
