일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2018-10-12",KAU18,"22,400",0,"0.00","0","0","0","0","0","0"
"2018-10-12",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-12",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-10-11",KAU18,"22,400",0,"0.00","0","0","0","0","0","0"
"2018-10-11",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-11",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-10-10",KAU18,"22,400",0,"0.00","0","0","0","0","0","0"
"2018-10-10",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-10",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-10-08",KAU18,"22,400",0,"0.00","0","0","0","0","0","0"
"2018-10-08",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-08",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-10-05",KAU18,"22,400",200,"0.90","22,400","22,400","22,400","500","11,200,000","22,400"
"2018-10-05",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-05",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-10-04",KAU18,"22,200",0,"0.00","0","0","0","0","0","0"
"2018-10-04",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-04",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-10-02",KAU18,"22,200",0,"0.00","0","0","0","0","0","0"
"2018-10-02",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-02",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-10-01",KAU18,"22,200",0,"0.00","0","0","0","0","0","0"
"2018-10-01",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-10-01",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-28",KAU18,"22,200",200,"0.91","22,200","22,200","22,200","500","11,100,000","22,200"
"2018-09-28",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-28",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-27",KAU18,"22,000",0,"0.00","0","0","0","0","0","0"
"2018-09-27",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-27",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-21",KAU18,"22,000",0,"0.00","0","0","0","90,000","1,973,500,000","21,928"
"2018-09-21",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-21",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-20",KAU18,"22,000",0,"0.00","0","0","0","0","0","0"
"2018-09-20",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-20",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-19",KAU18,"22,000",0,"0.00","0","0","0","0","0","0"
"2018-09-19",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-19",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-18",KAU18,"22,000",-50,"-0.23","22,000","22,000","22,000","250,100","5,502,200,000","22,000"
"2018-09-18",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-18",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-17",KAU18,"22,050",0,"0.00","0","0","0","0","0","0"
"2018-09-17",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-17",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-14",KAU18,"22,050",0,"0.00","0","0","0","0","0","0"
"2018-09-14",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-14",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-13",KAU18,"22,050",0,"0.00","0","0","0","0","0","0"
"2018-09-13",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-13",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-12",KAU18,"22,050",0,"0.00","0","0","0","0","0","0"
"2018-09-12",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-12",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-11",KAU18,"22,050",50,"0.23","0","0","0","0","0","0"
"2018-09-11",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-11",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-10",KAU18,"22,000",0,"0.00","0","0","0","0","0","0"
"2018-09-10",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-10",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-07",KAU18,"22,000",0,"0.00","0","0","0","0","0","0"
"2018-09-07",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-07",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-06",KAU18,"22,000",0,"0.00","0","0","0","0","0","0"
"2018-09-06",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-06",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-05",KAU18,"22,000",400,"1.85","0","0","0","250,000","5,400,000,000","21,600"
"2018-09-05",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-05",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-04",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-09-04",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-04",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-09-03",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-09-03",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-09-03",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-31",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-31",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-31",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-30",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-30",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-30",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-29",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-29",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-29",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-28",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-28",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-28",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-27",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-27",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-27",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-24",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-24",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-24",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-23",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-23",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-23",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-22",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-22",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-22",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-21",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-21",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-21",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-20",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-20",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-20",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-17",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-17",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-17",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-16",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-16",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-16",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-14",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-14",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-14",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-13",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-13",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-13",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-10",KAU18,"21,600",0,"0.00","0","0","0","0","0","0"
"2018-08-10",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2018-08-10",KOC,"25,000",0,"0.00","0","0","0","0","0","0"
"2018-08-09",KAU17,"21,600",0,"0.00","21,600","21,600","21,600","850","18,360,000","21,600"
