일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2020-10-14",KAU20,"23,700",300,"1.28","23,650","23,700","23,650","17,000","402,200,000","23,659"
"2020-10-14",KOC,"33,000",0,"0.00","0","0","0","0","0","0"
"2020-10-14",i-KOC,"37,600",0,"0.00","0","0","0","0","0","0"
"2020-10-13",KAU20,"23,400",250,"1.08","23,200","23,400","23,200","7,000","162,900,000","23,271"
"2020-10-13",KOC,"33,000",0,"0.00","0","0","0","0","0","0"
"2020-10-13",i-KOC,"37,600",0,"0.00","0","0","0","0","0","0"
"2020-10-12",KAU20,"23,150",150,"0.65","23,000","23,150","23,000","7,000","161,500,000","23,071"
"2020-10-12",KOC,"33,000",0,"0.00","0","0","0","0","0","0"
"2020-10-12",i-KOC,"37,600",0,"0.00","0","0","0","0","0","0"
"2020-10-08",KAU20,"23,000",200,"0.88","22,900","23,000","22,900","5,000","114,550,000","22,910"
"2020-10-08",KOC,"33,000",-3000,"-8.33","0","0","0","0","0","0"
"2020-10-08",i-KOC,"37,600",0,"0.00","0","0","0","0","0","0"
"2020-10-07",KAU20,"22,800",250,"1.11","22,600","22,800","22,600","10,500","238,400,000","22,705"
"2020-10-07",KOC,"36,000",0,"0.00","0","0","0","0","0","0"
"2020-10-07",i-KOC,"37,600",0,"0.00","0","0","0","0","0","0"
"2020-10-06",KAU20,"22,550",350,"1.58","22,300","22,550","22,300","7,000","156,750,000","22,393"
"2020-10-06",KOC,"36,000",0,"0.00","0","0","0","0","0","0"
"2020-10-06",i-KOC,"37,600",0,"0.00","0","0","0","0","0","0"
"2020-10-05",KAU20,"22,200",-100,"-0.45","22,300","22,300","22,200","4,500","100,200,000","22,267"
"2020-10-05",KOC,"36,000",0,"0.00","0","0","0","0","0","0"
"2020-10-05",i-KOC,"37,600",0,"0.00","0","0","0","0","0","0"
"2020-09-29",KAU20,"22,300",-450,"-1.98","22,700","22,750","22,300","33,023","748,555,750","22,668"
"2020-09-29",KOC,"36,000",0,"0.00","0","0","0","0","0","0"
"2020-09-29",i-KOC,"37,600",0,"0.00","0","0","0","0","0","0"
"2020-09-28",KAU20,"22,750",150,"0.66","22,650","22,750","22,650","33,000","748,550,000","22,683"
"2020-09-28",KOC,"36,000",0,"0.00","0","0","0","0","0","0"
