구분,총 전력수요,,,,,,,,,,,,,,,,,,,,,,,
20160405,2724840 ,,,,,,,,,,,,,,,,,,,,,,,
20160406,2707380 ,,,,,,,,,,,,,,,,,,,,,,,
20160407,2590730 ,,,,,,,,,,,,,,,,,,,,,,,
20160408,2456540 ,,,,,,,,,,,,,,,,,,,,,,,
20160409,2547470 ,,,,,,,,,,,,,,,,,,,,,,,
20160410,2482530 ,,,,,,,,,,,,,,,,,,,,,,,
20160411,2655670 ,,,,,,,,,,,,,,,,,,,,,,,
20160412,2670450 ,,,,,,,,,,,,,,,,,,,,,,,
20160413,2595980 ,,,,,,,,,,,,,,,,,,,,,,,
20160414,2521850 ,,,,,,,,,,,,,,,,,,,,,,,
20160415,2439200 ,,,,,,,,,,,,,,,,,,,,,,,
20160416,2540580 ,,,,,,,,,,,,,,,,,,,,,,,
20160417,2444160 ,,,,,,,,,,,,,,,,,,,,,,,
20160418,2608250 ,,,,,,,,,,,,,,,,,,,,,,,
20160419,2648020 ,,,,,,,,,,,,,,,,,,,,,,,
20160420,2645820 ,,,,,,,,,,,,,,,,,,,,,,,
20160421,2541090 ,,,,,,,,,,,,,,,,,,,,,,,
20160422,2414030 ,,,,,,,,,,,,,,,,,,,,,,,
20160423,2524460 ,,,,,,,,,,,,,,,,,,,,,,,
20160424,2404940 ,,,,,,,,,,,,,,,,,,,,,,,
20160425,2530250 ,,,,,,,,,,,,,,,,,,,,,,,
20160426,2578110 ,,,,,,,,,,,,,,,,,,,,,,,
20160427,2621420 ,,,,,,,,,,,,,,,,,,,,,,,
20160428,2525800 ,,,,,,,,,,,,,,,,,,,,,,,
20160429,2397400 ,,,,,,,,,,,,,,,,,,,,,,,
20160430,2461780 ,,,,,,,,,,,,,,,,,,,,,,,
20160501,2397810 ,,,,,,,,,,,,,,,,,,,,,,,
20160502,2565640 ,,,,,,,,,,,,,,,,,,,,,,,
20160503,2613710 ,,,,,,,,,,,,,,,,,,,,,,,
20160504,2612070 ,,,,,,,,,,,,,,,,,,,,,,,
20160505,2363940 ,,,,,,,,,,,,,,,,,,,,,,,
20160506,2275940 ,,,,,,,,,,,,,,,,,,,,,,,
20160507,2466060 ,,,,,,,,,,,,,,,,,,,,,,,
20160508,2373280 ,,,,,,,,,,,,,,,,,,,,,,,
20160509,2584580 ,,,,,,,,,,,,,,,,,,,,,,,
20160510,2605260 ,,,,,,,,,,,,,,,,,,,,,,,
20160511,2606170 ,,,,,,,,,,,,,,,,,,,,,,,
