대상연도,할당여부,업체명,업종명,온실가스 배출량,에너지 사용량,대상연도,최종분류
2012,,(유) 스태츠 칩팩코리아,반도체.디스플레이.전기전자,78478 ,1599 ,2012,산업
2011,,(유) 스태츠 칩팩코리아,반도체.디스플레이.전기전자,75454 ,1447 ,2011,산업
2020,할당,(유)에스케이씨에보닉페록사이드코리아,산업,55013 ,1117 ,2020,산업
2019,할당,(유)에스케이씨에보닉페록사이드코리아,석유화학,53950 ,1124 ,2019,산업
2018,할당,(유)에스케이씨에보닉페록사이드코리아,석유화학,58372 ,1191 ,2018,산업
2017,할당,(유)에스케이씨에보닉페록사이드코리아,석유화학,52368 ,1123 ,2017,산업
2016,,(유)에스케이씨에보닉페록사이드코리아,석유화학,60242 ,1195 ,2016,산업
2015,,(유)에스케이씨에보닉페록사이드코리아,석유화학,58574 ,1145 ,2015,산업
2014,,(유)에스케이씨에보닉페록사이드코리아,석유화학,59304 ,1126 ,2014,산업
2013,,(유)에스케이씨에보닉페록사이드코리아,석유화학,59865 ,1108 ,2013,산업
2012,,(유)에스케이씨에보닉페록사이드코리아,석유화학,47330 ,911 ,2012,산업
2011,,(유)에스케이씨에보닉페록사이드코리아,석유화학,48525 ,894 ,2011,산업
2020,목표,(유)호남고속,교통(여객),21850 ,341 ,2020,수송
2019,목표,(유)호남고속,교통(여객),24809 ,384 ,2019,수송
2018,목표,(유)호남고속,교통(여객),25429 ,393 ,2018,수송
2017,목표,(유)호남고속,교통(여객),24726 ,381 ,2017,수송
2020,할당,(주)HJ매그놀리아용평호텔앤리조트,건물,32772 ,649 ,2020,건물
2019,할당,(주)HJ매그놀리아용평호텔앤리조트,건물,32955 ,653 ,2019,건물
2018,할당,(주)HJ매그놀리아용평호텔앤리조트,건물,32776 ,649 ,2018,건물
2020,할당,(주)HM금속,산업,28355 ,536 ,2020,산업
2019,할당,(주)HM금속,철강,37628 ,654 ,2019,산업
2018,목표,(주)HM금속,철강,34262 ,600 ,2018,산업
2017,목표,(주)HM금속,철강,30616 ,534 ,2017,산업
2020,목표,(주)MH에탄올,음식료품,10345 ,306 ,2020,산업
2019,목표,(주)MH에탄올,음식료품,10062 ,293 ,2019,산업
2018,목표,(주)MH에탄올,음식료품,23436 ,292 ,2018,산업
2017,목표,(주)MH에탄올,음식료품,23319 ,287 ,2017,산업
2016,,(주)MH에탄올,음식료품,23971 ,287 ,2016,산업
2015,,(주)MH에탄올,음식료품,24592 ,302 ,2015,산업
2014,,(주)MH에탄올,음식료품,22984 ,525 ,2014,산업
2020,할당,(주)MSC,산업,28476 ,568 ,2020,산업
2019,할당,(주)MSC,음식료품,27775 ,555 ,2019,산업
2018,할당,(주)MSC,음식료품,26317 ,525 ,2018,산업
2017,할당,(주)MSC,음식료품,25355 ,506 ,2017,산업
2016,,(주)MSC,음식료품,25332 ,506 ,2016,산업
2015,,(주)MSC,음식료품,25204 ,504 ,2015,산업
2014,,(주)MSC,음식료품,25569 ,511 ,2014,산업
2013,,(주)MSC,음식료품,24724 ,494 ,2013,산업
2012,,(주)MSC,음식료품,23297 ,465 ,2012,산업
2011,,(주)MSC,음식료품,24654 ,478 ,2011,산업
2020,할당,(주)SIMPAC,산업,408855 ,4761 ,2020,산업
2019,할당,(주)SIMPAC,철강,463486 ,5067 ,2019,산업
2018,할당,(주)SIMPAC,산업,458521 ,4998 ,2018,산업
2017,할당,(주)SIMPAC,철강,407757 ,4430 ,2017,산업
2016,,(주)SIMPAC,철강,334985 ,3726 ,2016,산업
2015,,(주)SIMPAC,철강,389514 ,4409 ,2015,산업
2014,,(주)SIMPAC,철강,235311 ,2704 ,2014,산업
2013,,(주)SIMPAC,철강,249146 ,2771 ,2013,산업
2012,,(주)SIMPAC,철강,261271 ,2881 ,2012,산업
2011,,(주)SIMPAC,철강,296637 ,2966 ,2011,산업
2017,할당,(주)SPP조선,조선,3396 ,56 ,2017,산업
2016,,(주)SPP조선,조선,50797 ,898 ,2016,산업
2015,,(주)SPP조선,조선,94733 ,1736 ,2015,산업
2014,,(주)SPP조선,조선,115618 ,2124 ,2014,산업
2016,,(주)가든파이브라이프,건물,11114 ,239 ,2016,건물
2015,,(주)가든파이브라이프,건물,13160 ,281 ,2015,건물
2014,,(주)가든파이브라이프,건물,14236 ,301 ,2014,건물
2020,할당,(주)강원랜드,건물,58273 ,1177 ,2020,건물
2019,할당,(주)강원랜드,건물,83321 ,1686 ,2019,건물
2018,할당,(주)강원랜드,건물,76114 ,1534 ,2018,건물
2017,할당,(주)강원랜드,건물,71158 ,1438 ,2017,건물
2016,,(주)강원랜드,건물,71448 ,1403 ,2016,건물
2015,,(주)강원랜드,건물,71204 ,1393 ,2015,건물
2014,,(주)강원랜드,건물,72346 ,1388 ,2014,건물
2013,,(주)강원랜드,건물,78048 ,1495 ,2013,건물
2012,,(주)강원랜드,건물,79294 ,1519 ,2012,건물
2011,,(주)강원랜드,건물,70829 ,1301 ,2011,건물
2020,할당,(주)건화,산업,22139 ,399 ,2020,산업
2019,할당,(주)건화,조선,30632 ,534 ,2019,산업
2018,할당,(주)건화,조선,22213 ,410 ,2018,산업
2017,할당,(주)건화,조선,25198 ,437 ,2017,산업
2016,,(주)건화,조선,29325 ,488 ,2016,산업
2015,,(주)건화,조선,29047 ,485 ,2015,산업
2014,,(주)건화,조선,29603 ,490 ,2014,산업
2020,목표,(주)경기고속,교통(여객),109380 ,1727 ,2020,수송
2019,목표,(주)경기고속,교통(여객),166441 ,2550 ,2019,수송
2018,목표,(주)경기고속,교통(여객),172083 ,2644 ,2018,수송
2017,목표,(주)경기고속,교통(여객),178260 ,2738 ,2017,수송
2016,,(주)경기고속,교통(여객),178894 ,2749 ,2016,수송
2015,,(주)경기고속,교통(여객),179250 ,2784 ,2015,수송
2014,,(주)경기고속,교통(여객),172843 ,2704 ,2014,수송
2013,,(주)경기고속,교통(여객),167058 ,2604 ,2013,수송
2012,,(주)경기고속,교통(여객),164818 ,2528 ,2012,수송
2011,,(주)경기고속,교통(여객),167188 ,2540 ,2011,수송
2020,목표,(주)경남고속,교통(여객),14747 ,208 ,2020,수송
2019,목표,(주)경남고속,교통(여객),26528 ,375 ,2019,수송
2018,목표,(주)경남고속,교통(여객),26354 ,372 ,2018,수송
2017,목표,(주)경남고속,교통(여객),26233 ,371 ,2017,수송
2016,,(주)경남고속,교통(여객),26731 ,378 ,2016,수송
2015,,(주)경남고속,교통(여객),25732 ,364 ,2015,수송
2014,,(주)경남고속,교통(여객),25480 ,361 ,2014,수송
2020,할당,(주)경동,산업,226978 ,407 ,2020,산업
2019,할당,(주)경동,광업,224595 ,395 ,2019,산업
2018,할당,(주)경동,광업,220210 ,401 ,2018,산업
2017,할당,(주)경동,광업,217844 ,387 ,2017,산업
2016,,(주)경동,광업,276458 ,443 ,2016,산업
2015,,(주)경동,광업,284902 ,431 ,2015,산업
2014,,(주)경동,광업,282014 ,426 ,2014,산업
2020,목표,(주)경동원,기계,16844 ,333 ,2020,산업
2019,목표,(주)경동원,기계,16145 ,322 ,2019,산업
2018,목표,(주)경방,섬유,52875 ,1074 ,2018,산업
2017,목표,(주)경방,섬유,59533 ,1208 ,2017,산업
2016,,(주)경방,섬유,63753 ,1291 ,2016,산업
2015,,(주)경방,섬유,67807 ,1373 ,2015,산업
2014,,(주)경방,섬유,66893 ,1355 ,2014,산업
2013,,(주)경방,섬유,68699 ,1386 ,2013,산업
2020,목표,(주)경방 광주공장,섬유,17866 ,364 ,2020,산업
2019,목표,(주)경방 광주공장,섬유,34322 ,695 ,2019,산업
2020,목표,(주)경보제약,석유화학,18313 ,302 ,2020,산업
2019,목표,(주)경보제약,석유화학,19472 ,319 ,2019,산업
2016,,(주)경북코치서비스,교통(여객),61494 ,867 ,2016,수송
2015,,(주)경북코치서비스,교통(여객),57974 ,818 ,2015,수송
2014,,(주)경북코치서비스,교통(여객),55924 ,792 ,2014,수송
2020,목표,(주)경신전선,반도체.디스플레이.전기전자,15281 ,312 ,2020,산업
2019,목표,(주)경신전선,반도체.디스플레이.전기전자,15862 ,324 ,2019,산업
2018,목표,(주)경신전선,반도체.디스플레이.전기전자,15929 ,325 ,2018,산업
2017,목표,(주)경신전선,반도체.디스플레이.전기전자,15435 ,315 ,2017,산업
2016,,(주)경신전선,반도체.디스플레이.전기전자,16078 ,328 ,2016,산업
2015,,(주)경신전선,반도체.디스플레이.전기전자,15866 ,324 ,2015,산업
2014,,(주)경신전선,반도체.디스플레이.전기전자,16192 ,330 ,2014,산업
2020,목표,(주)공항리무진,교통(여객),6755 ,96 ,2020,수송
2019,목표,(주)공항리무진,교통(여객),32171 ,456 ,2019,수송
2018,목표,(주)공항리무진,교통(여객),31011 ,440 ,2018,수송
2020,목표,(주)국민은행,건물,111653 ,1697 ,2020,건물
2019,목표,(주)국민은행,건물,110408 ,1661 ,2019,건물
2018,목표,(주)국민은행,건물,109269 ,1623 ,2018,건물
2017,할당,(주)국민은행,건물,110995 ,1670 ,2017,건물
2016,,(주)국민은행,건물,117495 ,1749 ,2016,건물
2015,,(주)국민은행,건물,121180 ,1828 ,2015,건물
2014,,(주)국민은행,건물,120040 ,1795 ,2014,건물
2013,,(주)국민은행,건물,125714 ,1895 ,2013,건물
2012,,(주)국민은행,건물,129130 ,1995 ,2012,건물
2020,목표,(주)국일방적 정읍공장,섬유,12725 ,261 ,2020,산업
2019,목표,(주)국일방적 정읍공장,섬유,13493 ,277 ,2019,산업
2018,목표,(주)국일방적 정읍공장,섬유,13807 ,283 ,2018,산업
2017,목표,(주)국일방적 정읍공장,섬유,22632 ,465 ,2017,산업
2016,,(주)국일방적 정읍공장,섬유,23716 ,487 ,2016,산업
2015,,(주)국일방적 정읍공장,섬유,24466 ,502 ,2015,산업
2014,,(주)국일방적 정읍공장,섬유,24075 ,494 ,2014,산업
2018,목표,(주)그린바이텍,음식료품,4719 ,248 ,2018,산업
2017,목표,(주)그린바이텍,음식료품,4990 ,238 ,2017,산업
2016,,(주)그린바이텍,음식료품,5857 ,264 ,2016,산업
2015,,(주)그린바이텍,음식료품,6638 ,259 ,2015,산업
2014,,(주)그린바이텍,음식료품,21967 ,310 ,2014,산업
2013,,(주)그린바이텍,음식료품,21763 ,306 ,2013,산업
2012,,(주)그린바이텍,음식료품,24559 ,346 ,2012,산업
2020,할당,(주)그린스코,폐기물,55543 ,119 ,2020,폐기물
2019,할당,(주)그린스코,폐기물,47279 ,108 ,2019,폐기물
2018,할당,(주)그린스코,폐기물,53126 ,102 ,2018,폐기물
2017,할당,(주)그린스코,폐기물,53327 ,117 ,2017,폐기물
2016,,(주)그린스코,폐기물,49300 ,105 ,2016,폐기물
2015,,(주)그린스코,폐기물,68588 ,127 ,2015,폐기물
2014,,(주)그린스코,폐기물,60438 ,130 ,2014,폐기물
2020,목표,(주)금남고속,교통(여객),19848 ,282 ,2020,수송
2019,목표,(주)금남고속,교통(여객),36504 ,517 ,2019,수송
2018,목표,(주)금남고속,교통(여객),38506 ,545 ,2018,수송
2017,목표,(주)금남고속,교통(여객),37352 ,529 ,2017,수송
2016,,(주)금남고속,교통(여객),37742 ,534 ,2016,수송
2015,,(주)금남고속,교통(여객),38597 ,547 ,2015,수송
2014,,(주)금남고속,교통(여객),40535 ,574 ,2014,수송
2020,할당,(주)금비,산업,77829 ,1137 ,2020,산업
2019,할당,(주)금비,유리.요업,82482 ,1200 ,2019,산업
2018,할당,(주)금비,유리.요업,80531 ,1176 ,2018,산업
2017,할당,(주)금비,유리.요업,77150 ,1094 ,2017,산업
2016,,(주)금비,유리.요업,85034 ,1191 ,2016,산업
2015,,(주)금비,유리.요업,83008 ,1224 ,2015,산업
2014,,(주)금비,유리.요업,77496 ,1165 ,2014,산업
2013,,(주)금비,유리.요업,69332 ,1210 ,2013,산업
2012,,(주)금비,유리.요업,70914 ,1089 ,2012,산업
2011,,(주)금비,유리.요업,81783 ,1136 ,2011,산업
2020,목표,(주)남해고속,교통(해운),21911 ,311 ,2020,수송
2019,목표,(주)남해고속,교통(해운),22361 ,317 ,2019,수송
2018,목표,(주)남해고속,교통(해운),20104 ,285 ,2018,수송
2017,목표,(주)남해고속,교통(해운),18238 ,259 ,2017,수송
2020,목표,(주)네오오토 예산공장,자동차,16275 ,332 ,2020,산업
2019,목표,(주)네오오토 예산공장,자동차,17008 ,347 ,2019,산업
2018,목표,(주)네오오토 예산공장,자동차,17510 ,357 ,2018,산업
2017,목표,(주)네오오토 예산공장,자동차,17833 ,364 ,2017,산업
2020,목표,(주)넥센,석유화학,17210 ,310 ,2020,산업
2019,목표,(주)넥센,석유화학,17601 ,322 ,2019,산업
2018,목표,(주)넥센,석유화학,20483 ,371 ,2018,산업
2017,할당,(주)넥센,석유화학,21434 ,385 ,2017,산업
2016,,(주)넥센,석유화학,22133 ,401 ,2016,산업
2015,,(주)넥센,석유화학,21889 ,388 ,2015,산업
2014,,(주)넥센,석유화학,23467 ,429 ,2014,산업
2013,,(주)넥센,석유화학,25322 ,466 ,2013,산업
2012,,(주)넥센,석유화학,24709 ,479 ,2012,산업
2011,,(주)넥센,석유화학,27422 ,460 ,2011,산업
2020,목표,(주)농협물류,교통(화물),30429 ,437 ,2020,수송
2019,목표,(주)농협물류,교통(화물),29178 ,413 ,2019,수송
2018,목표,(주)농협물류,교통(화물),29701 ,421 ,2018,수송
2017,목표,(주)농협물류,교통(화물),29955 ,424 ,2017,수송
2016,,(주)농협물류,교통(화물),30191 ,428 ,2016,수송
2020,목표,(주)농협사료,음식료품,84755 ,1703 ,2020,산업
2019,목표,(주)농협사료,음식료품,83394 ,1676 ,2019,산업
2018,목표,(주)농협사료,음식료품,82044 ,1647 ,2018,산업
2017,목표,(주)농협사료,음식료품,80251 ,1579 ,2017,산업
2016,,(주)농협사료,음식료품,81987 ,1592 ,2016,산업
2015,,(주)농협사료,음식료품,78436 ,1540 ,2015,산업
2014,,(주)농협사료,음식료품,79364 ,1555 ,2014,산업
2020,할당,(주)단석산업,산업,38773 ,660 ,2020,산업
2019,할당,(주)단석산업,비철금속,51233 ,778 ,2019,산업
2017,목표,(주)단석산업,비철금속,51606 ,782 ,2017,산업
2018,할당,(주)단석산업 군산지점,비철금속,51075 ,795 ,2018,산업
2016,,(주)단석산업 군산지점,비철금속,32183 ,356 ,2016,산업
2016,,(주)단석산업 시흥공장,석유화학,17814 ,456 ,2016,산업
2015,,(주)단석산업 시흥공장,석유화학,15631 ,391 ,2015,산업
2014,,(주)단석산업 시흥공장,석유화학,17471 ,416 ,2014,산업
2018,목표,(주)대농 청원공장,섬유,17257 ,355 ,2018,산업
2017,목표,(주)대농 청원공장,섬유,17696 ,364 ,2017,산업
2016,,(주)대농 청원공장,섬유,18202 ,374 ,2016,산업
2015,,(주)대농 청원공장,섬유,17641 ,362 ,2015,산업
2014,,(주)대농 청원공장,섬유,16920 ,348 ,2014,산업
2020,목표,(주)대농청원공장,섬유,14852 ,305 ,2020,산업
2019,목표,(주)대농청원공장,섬유,17133 ,352 ,2019,산업
2020,목표,(주)대동세라믹,유리.요업,32276 ,638 ,2020,산업
2019,목표,(주)대동세라믹,유리.요업,27908 ,549 ,2019,산업
2018,목표,(주)대동세라믹,유리.요업,22239 ,431 ,2018,산업
2020,할당,(주)대림제지,산업,105598 ,1699 ,2020,산업
2019,할당,(주)대림제지,제지,102123 ,1624 ,2019,산업
2018,할당,(주)대림제지,제지,81997 ,1205 ,2018,산업
2017,할당,(주)대림제지,제지,82982 ,1170 ,2017,산업
2016,,(주)대림제지,제지,86836 ,1221 ,2016,산업
2015,,(주)대림제지,제지,85689 ,1108 ,2015,산업
2014,,(주)대림제지,제지,88706 ,1108 ,2014,산업
2013,,(주)대림제지,제지,84428 ,1142 ,2013,산업
2012,,(주)대림제지,제지,89028 ,1164 ,2012,산업
2011,,(주)대림제지,제지,86135 ,1132 ,2011,산업
2017,할당,(주)대명레저산업,건물,49373 ,991 ,2017,건물
2016,,(주)대명레저산업,건물,49970 ,1003 ,2016,건물
2015,,(주)대명레저산업,건물,48533 ,973 ,2015,건물
2014,,(주)대명레저산업,건물,48502 ,973 ,2014,건물
2013,,(주)대명레저산업,건물,47853 ,959 ,2013,건물
2012,,(주)대명레저산업,건물,49187 ,986 ,2012,건물
2011,,(주)대명레저산업,건물,49618 ,955 ,2011,건물
2020,목표,(주)대명티피앤이,건물,9465 ,188 ,2020,건물
2019,목표,(주)대명티피앤이,건물,15241 ,305 ,2019,건물
2018,목표,(주)대명티피앤이,건물,14926 ,301 ,2018,건물
2018,할당,(주)대명호텔앤리조트,건물,43796 ,878 ,2018,건물
2016,,(주)대보세라믹스,유리.요업,26762 ,477 ,2016,산업
2015,,(주)대보세라믹스,유리.요업,27486 ,484 ,2015,산업
2014,,(주)대보세라믹스,유리.요업,28126 ,492 ,2014,산업
2020,목표,(주)대승프론티어,유리.요업,23957 ,447 ,2020,산업
2019,목표,(주)대승프론티어,유리.요업,23245 ,432 ,2019,산업
2018,목표,(주)대승프론티어,유리.요업,22003 ,412 ,2018,산업
2017,목표,(주)대승프론티어,유리.요업,21894 ,408 ,2017,산업
2012,,(주)대승프론티어 군포공장,유리.요업,13700 ,257 ,2012,산업
2011,,(주)대승프론티어 군포공장,유리.요업,21000 ,324 ,2011,산업
2020,목표,(주)대우건설,건설,58969 ,1174 ,2020,산업
2019,목표,(주)대우건설,건설,66193 ,1323 ,2019,산업
2018,목표,(주)대우건설,건설,70715 ,1421 ,2018,산업
2017,목표,(주)대우건설,건설,70501 ,1408 ,2017,산업
2016,,(주)대우건설,건설,68589 ,1359 ,2016,산업
2015,,(주)대우건설,건설,66508 ,1312 ,2015,산업
2014,,(주)대우건설,건설,63233 ,1247 ,2014,산업
2017,할당,(주)대우전자,기계,11688 ,235 ,2017,산업
2018,목표,(주)대우전자 광주공장,기계,10962 ,221 ,2018,산업
2020,목표,(주)대욱케스트,철강,21036 ,380 ,2020,산업
2019,목표,(주)대욱케스트,철강,19939 ,364 ,2019,산업
2018,목표,(주)대욱케스트,철강,22420 ,406 ,2018,산업
2017,목표,(주)대욱케스트,철강,22074 ,406 ,2017,산업
2016,,(주)대욱케스트,철강,19333 ,360 ,2016,산업
2020,목표,(주)대원고속,교통(여객),115574 ,1822 ,2020,수송
2019,목표,(주)대원고속,교통(여객),161821 ,2483 ,2019,수송
2018,목표,(주)대원고속,교통(여객),157014 ,2413 ,2018,수송
2017,목표,(주)대원고속,교통(여객),159420 ,2447 ,2017,수송
2016,,(주)대원고속,교통(여객),165784 ,2535 ,2016,수송
2015,,(주)대원고속,교통(여객),165785 ,2558 ,2015,수송
2014,,(주)대원고속,교통(여객),159520 ,2484 ,2014,수송
2013,,(주)대원고속,교통(여객),154014 ,2387 ,2013,수송
2012,,(주)대원고속,교통(여객),150815 ,2295 ,2012,수송
2011,,(주)대원고속,교통(여객),152566 ,2277 ,2011,수송
2020,목표,(주)대원버스,교통(여객),28153 ,477 ,2020,수송
2019,목표,(주)대원버스,교통(여객),33005 ,563 ,2019,수송
2018,목표,(주)대원버스,교통(여객),31943 ,546 ,2018,수송
2020,목표,(주)대원여객,교통(여객),21099 ,399 ,2020,수송
2019,목표,(주)대원여객,교통(여객),21556 ,406 ,2019,수송
2018,목표,(주)대원여객,교통(여객),21540 ,406 ,2018,수송
2017,목표,(주)대원여객,교통(여객),21457 ,405 ,2017,수송
2020,목표,(주)대원운수,교통(여객),35681 ,595 ,2020,수송
2019,목표,(주)대원운수,교통(여객),38143 ,643 ,2019,수송
2018,목표,(주)대원운수,교통(여객),36862 ,621 ,2018,수송
2017,목표,(주)대원운수,교통(여객),36683 ,620 ,2017,수송
2020,할당,(주)대유코아,산업,66206 ,654 ,2020,산업
2019,할당,(주)대유코아,시멘트,72757 ,749 ,2019,산업
2018,할당,(주)대유코아,시멘트,45198 ,97 ,2018,산업
2017,할당,(주)대유코아 춘추광업소,시멘트,43102 ,92 ,2017,산업
2016,,(주)대유코아 춘추광업소,시멘트,38747 ,80 ,2016,산업
2015,,(주)대유코아 춘추광업소,시멘트,38921 ,81 ,2015,산업
2014,,(주)대유코아 춘추광업소,시멘트,44316 ,100 ,2014,산업
2020,목표,(주)대저해운,교통(해운),6574 ,94 ,2020,수송
2019,목표,(주)대저해운,교통(해운),19416 ,278 ,2019,수송
2018,목표,(주)대저해운,교통(해운),17494 ,250 ,2018,수송
2017,목표,(주)대저해운,교통(해운),17997 ,257 ,2017,수송
2020,목표,(주)대천텍스타일,섬유,14578 ,289 ,2020,산업
2019,목표,(주)대천텍스타일,섬유,13653 ,257 ,2019,산업
2018,목표,(주)대천텍스타일,섬유,17336 ,322 ,2018,산업
2020,목표,(주)대호피앤씨 포항공장,철강,18650 ,354 ,2020,산업
2019,목표,(주)대호피앤씨 포항공장,철강,23711 ,461 ,2019,산업
2018,목표,(주)대호피앤씨 포항공장,철강,25095 ,492 ,2018,산업
2017,목표,(주)대호피앤씨 포항공장,철강,24314 ,479 ,2017,산업
2016,,(주)대호피앤씨 포항공장,철강,21811 ,441 ,2016,산업
2015,,(주)대호피앤씨 포항공장,철강,20794 ,431 ,2015,산업
2014,,(주)대호피앤씨 포항공장,철강,22065 ,447 ,2014,산업
2020,할당,(주)대화제지,산업,28972 ,581 ,2020,산업
2019,할당,(주)대화제지,제지,27583 ,553 ,2019,산업
2018,목표,(주)대화제지,제지,27756 ,557 ,2018,산업
2017,할당,(주)대화제지,제지,26227 ,526 ,2017,산업
2016,,(주)대화제지,제지,26149 ,524 ,2016,산업
2015,,(주)대화제지,제지,23876 ,479 ,2015,산업
2014,,(주)대화제지,제지,24275 ,487 ,2014,산업
2013,,(주)대화제지,제지,27199 ,545 ,2013,산업
2012,,(주)대화제지,제지,28255 ,566 ,2012,산업
2011,,(주)대화제지,제지,31771 ,617 ,2011,산업
2017,할당,(주)델코,반도체.디스플레이.전기전자,24406 ,497 ,2017,산업
2020,목표,(주)동남 서산공장,비철금속,20212 ,297 ,2020,산업
2019,목표,(주)동남 서산공장,비철금속,18026 ,266 ,2019,산업
2018,목표,(주)동남 서산공장,비철금속,14877 ,220 ,2018,산업
2017,목표,(주)동남 서산공장,비철금속,16831 ,246 ,2017,산업
2016,,(주)동남 서산공장,비철금속,16348 ,238 ,2016,산업
2020,목표,(주)동남 울산공장,비철금속,30142 ,435 ,2020,산업
2019,목표,(주)동남 울산공장,비철금속,28179 ,408 ,2019,산업
2018,목표,(주)동남 울산공장,비철금속,21922 ,317 ,2018,산업
2017,목표,(주)동남 울산공장,비철금속,20964 ,303 ,2017,산업
2016,,(주)동남 울산공장,비철금속,22661 ,329 ,2016,산업
2015,,(주)동남 울산공장,비철금속,25655 ,371 ,2015,산업
2014,,(주)동남 울산공장,비철금속,19540 ,288 ,2014,산업
2020,목표,(주)동방,교통(화물),43317 ,625 ,2020,수송
2019,목표,(주)동방,교통(화물),41914 ,603 ,2019,수송
2018,목표,(주)동방,교통(화물),43081 ,619 ,2018,수송
2017,목표,(주)동방,교통(화물),42183 ,606 ,2017,수송
2016,,(주)동방,교통(화물),47498 ,683 ,2016,수송
2018,목표,(주)동부익스프레스,교통(여객),48524 ,714 ,2018,수송
2017,목표,(주)동부익스프레스,교통(여객),51261 ,755 ,2017,수송
2016,,(주)동부익스프레스,교통(여객),63617 ,931 ,2016,수송
2016,,(주)동부하이텍,반도체.디스플레이.전기전자,310272 ,3607 ,2016,산업
2015,,(주)동부하이텍,반도체.디스플레이.전기전자,289445 ,3443 ,2015,산업
2014,,(주)동부하이텍,반도체.디스플레이.전기전자,276481 ,3380 ,2014,산업
2013,,(주)동부하이텍,반도체.디스플레이.전기전자,263315 ,3375 ,2013,산업
2012,,(주)동부하이텍,반도체.디스플레이.전기전자,294837 ,3464 ,2012,산업
2011,,(주)동부하이텍,반도체.디스플레이.전기전자,315684 ,3376 ,2011,산업
2020,목표,(주)동서기공 당진지점,자동차,30575 ,624 ,2020,산업
2019,목표,(주)동서기공 당진지점,자동차,13023 ,262 ,2019,산업
2018,목표,(주)동서기공 당진지점,자동차,25409 ,518 ,2018,산업
2017,목표,(주)동서기공 당진지점,자동차,23405 ,478 ,2017,산업
2016,,(주)동서기공 당진지점,자동차,21753 ,444 ,2016,산업
2015,,(주)동서기공 당진지점,자동차,19578 ,399 ,2015,산업
2014,,(주)동서기공 당진지점,자동차,16664 ,339 ,2014,산업
2018,목표,(주)동서기공 시흥,비철금속,16515 ,332 ,2018,산업
2017,목표,(주)동서기공 시흥,비철금속,17269 ,347 ,2017,산업
2016,,(주)동서기공 시흥,비철금속,16719 ,337 ,2016,산업
2015,,(주)동서기공 시흥,비철금속,17229 ,347 ,2015,산업
2014,,(주)동서기공 시흥,비철금속,15651 ,315 ,2014,산업
2020,할당,(주)동신포리마,산업,28532 ,582 ,2020,산업
2019,목표,(주)동신포리마,석유화학,27986 ,564 ,2019,산업
2018,목표,(주)동신포리마,석유화학,28376 ,571 ,2018,산업
2017,목표,(주)동신포리마,석유화학,26858 ,540 ,2017,산업
2016,,(주)동신포리마,석유화학,23066 ,461 ,2016,산업
2015,,(주)동신포리마,석유화학,20141 ,402 ,2015,산업
2014,,(주)동신포리마,석유화학,19291 ,386 ,2014,산업
2020,목표,(주)동양고속,교통(항공),51023 ,726 ,2020,수송
2019,목표,(주)동양고속,교통(여객),67788 ,964 ,2019,수송
2018,목표,(주)동양고속,교통(여객),68869 ,981 ,2018,수송
2017,목표,(주)동양고속,교통(여객),68186 ,972 ,2017,수송
2016,,(주)동양고속,교통(여객),67772 ,964 ,2016,수송
2015,,(주)동양고속,교통(여객),65627 ,933 ,2015,수송
2014,,(주)동양고속,교통(여객),65097 ,926 ,2014,수송
2019,목표,(주)동양이앤씨,기계,17114 ,336 ,2019,산업
2018,목표,(주)동양이앤씨,기계,18183 ,357 ,2018,산업
2017,목표,(주)동양이앤씨,기계,12228 ,240 ,2017,산업
2016,,(주)동양이앤씨,기계,13834 ,272 ,2016,산업
2015,,(주)동양이앤씨,기계,18141 ,357 ,2015,산업
2014,,(주)동양이앤씨,기계,16872 ,332 ,2014,산업
2020,할당,(주)동양환경,폐기물,191241 ,593 ,2020,폐기물
2019,할당,(주)동양환경,폐기물,253032 ,537 ,2019,폐기물
2018,할당,(주)동양환경,폐기물,213834 ,227 ,2018,폐기물
2017,목표,(주)동양환경,폐기물,179440 ,147 ,2017,폐기물
2016,,(주)동양환경,폐기물,192420 ,138 ,2016,폐기물
2020,목표,(주)동원F&B,음식료품,79289 ,1706 ,2020,산업
2019,목표,(주)동원F&B,음식료품,73387 ,1589 ,2019,산업
2018,목표,(주)동원F&B,음식료품,70557 ,1521 ,2018,산업
2017,목표,(주)동원F&B,음식료품,65771 ,1414 ,2017,산업
2016,,(주)동원F&B,음식료품,64154 ,1272 ,2016,산업
2015,,(주)동원F&B,음식료품,61515 ,1217 ,2015,산업
2014,,(주)동원F&B,음식료품,57996 ,1151 ,2014,산업
2020,목표,(주)동진쎄미켐,석유화학,21070 ,400 ,2020,산업
2019,목표,(주)동진쎄미켐,석유화학,20747 ,391 ,2019,산업
2018,목표,(주)동진쎄미켐,석유화학,19266 ,360 ,2018,산업
2017,목표,(주)동진쎄미켐,석유화학,19654 ,367 ,2017,산업
2016,,(주)동진쎄미켐,석유화학,19167 ,357 ,2016,산업
2015,,(주)동진쎄미켐,석유화학,18385 ,341 ,2015,산업
2014,,(주)동진쎄미켐,석유화학,18175 ,338 ,2014,산업
2020,목표,(주)두산,반도체.디스플레이.전기전자,72266 ,1453 ,2020,산업
2019,목표,(주)두산,반도체.디스플레이.전기전자,84294 ,1689 ,2019,산업
2018,목표,(주)두산,반도체.디스플레이.전기전자,88239 ,1727 ,2018,산업
2017,할당,(주)두산,반도체.디스플레이.전기전자,86144 ,1649 ,2017,산업
