일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2017-10-13",KAU17,"20,900",100,"0.48","0","0","0","0","0","0"
"2017-10-13",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-10-13",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-10-12",KAU17,"20,800",0,"0.00","0","0","0","25,000","520,000,000","20,800"
"2017-10-12",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-10-12",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-10-11",KAU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-10-11",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-10-11",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-10-10",KAU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-10-10",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-10-10",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-09-29",KAU17,"20,800",100,"0.48","0","0","0","52,000","1,063,400,000","20,450"
"2017-09-29",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-09-29",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-09-28",KAU17,"20,700",50,"0.24","20,700","20,700","20,700","1,000","20,700,000","20,700"
"2017-09-28",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-09-28",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-09-27",KAU17,"20,650",0,"0.00","0","0","0","0","0","0"
"2017-09-27",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-09-27",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-09-26",KAU17,"20,650",0,"0.00","0","0","0","185,000","3,820,250,000","20,650"
"2017-09-26",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-09-26",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-09-25",KAU17,"20,650",0,"0.00","0","0","0","0","0","0"
"2017-09-25",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-09-25",KOC,"20,700",0,"0.00","20,700","20,700","20,700","50,000","1,035,000,000","20,700"
"2017-09-22",KAU17,"20,650",0,"0.00","0","0","0","0","0","0"
"2017-09-22",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-09-22",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-09-21",KAU17,"20,650",0,"0.00","0","0","0","0","0","0"
"2017-09-21",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-09-21",KOC,"20,700",0,"0.00","20,700","20,700","20,700","2,320","48,024,000","20,700"
"2017-09-20",KAU17,"20,650",150,"0.73","20,650","20,650","20,650","50,500","1,035,325,000","20,501"
"2017-09-20",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-09-20",KOC,"20,700",0,"0.00","0","0","0","0","0","0"
"2017-09-19",KAU17,"20,500",0,"0.00","0","0","0","0","0","0"
"2017-09-19",KCU17,"20,800",0,"0.00","0","0","0","0","0","0"
"2017-09-19",KOC,"20,700",200,"0.98","20,700","20,700","20,700","4,500","93,150,000","20,700"
"2017-09-18",KAU17,"20,500",200,"0.99","20,500","20,500","20,500","4,000","82,000,000","20,500"
