"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.357033030995948","0.351293894180632","0.354827512015289","0.365091798784324","0.365615888942347","0.370618828985713","0.362369107104793","0.367750332291327","0.370109651295341","0.346356994356966","0.341359777700875","0.365077556578487","0.36237956834701","0.373418160280092","0.379733655391717","0.357652465879785","0.340064866193743","0.332440554308806","0.33780544193883","0.321512094945171","0.321897099325136","0.302555366401958","0.302453074497964","0.299402317373671","0.296757561581905","0.279469796927445","0.275042446750004","0.270148293874607","0.262016757115407","","",
"Afghanistan","AFG","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0409073177906064","0.0461300971359994","0.0380741859159471","0.0496792701666923","0.0557786541098558","0.0596122632052635","0.106700919507048","0.120135148713512","0.15179396982153","0.213736253516599","0.161576669834486","0.124601979499054","0.111319743310025","0.112256180788168","0.101531499146612","0.0987794144908959","0.098412154142743","","",
"Africa Western and Central","AFW","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.157111456618377","0.171787327735078","0.187263467463398","0.195043029643279","0.190397618984402","0.189246363006864","0.193258356911215","0.184012751973897","0.172356274657741","0.171045009474059","0.167507387869717","0.172931919552171","0.162494960137677","0.157830506273064","0.150449769293026","0.156857939582809","0.146676672376143","0.139175224887702","0.134763539314689","0.117424567033211","0.125521321480434","0.129151585468802","0.124381218652083","0.124013408451107","0.121141737147963","0.114605778558789","0.11537366275532","0.116436200844692","0.125518588897594","","",
"Angola","AGO","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.092375989306627","0.0943592230203473","0.0977543804651784","0.139295646941344","0.133271228107724","0.186737354733305","0.174073428025956","0.166820436041353","0.154454920730449","0.168174281035365","0.159577357715088","0.15982145966096","0.148339420731841","0.190457797762011","0.183856405367019","0.150886178201237","0.151087977166233","0.153044934463118","0.146991071469554","0.157768333086167","0.158794302991281","0.158468571804275","0.149912280194789","0.154970544474333","0.155994049369979","0.156901010252609","0.16220151128488","0.141476122276768","0.127984477152705","","",
"Albania","ALB","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.381338132600699","0.359813210756482","0.211288086264883","0.178216391178439","0.170118334098749","0.136790661924068","0.126666951216113","0.106826382210065","0.119382407107267","0.17448946046301","0.17413700753404","0.163342444960005","0.181966782372417","0.188984646562751","0.186959860539673","0.168077625860284","0.157933483459921","0.155277239164617","0.142732562694672","0.143073761350537","0.146262874922815","0.156957947735344","0.140638828806099","0.145628158620655","0.155934218012492","0.148165915130276","0.139451987526269","0.152601663729464","0.145584469455718","","",
"Andorra","AND","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.305676217117546","0.311406045001049","0.307423775203595","0.320432266252959","0.328216738521033","0.329108287409591","0.325465370741065","0.321746282263195","0.307419160197305","0.304905210311358","0.295556337657511","0.308165029841982","0.319566636194062","0.313225750544559","0.304418557189582","0.315037254585304","0.312711402848912","0.312715883745654","0.318890301831409","0.331654383399028","0.334553737957069","0.328744325516416","0.331911700785391","0.327596151949052","0.333457680849083","0.329218169754482","0.321286605454148","0.320170006813422","0.312141972312871","","",
"United Arab Emirates","ARE","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.271852848038548","0.299212630058883","0.280771616700526","0.288943992909245","0.297007620082965","0.296122360712008","0.292107526706396","0.290080555579634","0.297758610614329","0.296780249877372","0.263179765949792","0.295530340405663","0.294084359125345","0.285200017306595","0.276515519550423","0.278818181058379","0.265154753068665","0.278615283211404","0.320249032799344","0.340088871645074","0.346734589486569","0.331232714685868","0.334951759755615","0.334025985927049","0.319850866598087","0.32119704281541","0.32036265575047","0.326725757430856","0.310557724791028","","",
"Argentina","ARG","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.216392856819852","0.209166757843639","0.197520577576386","0.188797120117392","0.18285262849479","0.188207527144935","0.198331052231398","0.184552871739554","0.185876004452393","0.193862843187246","0.192084496459936","0.190219471886138","0.200825678613977","0.20162540731533","0.204362203631837","0.193659975782764","0.190322452162134","0.183877592371039","0.181589392666108","0.180719313557378","0.175256057885632","0.17429731021483","0.17736661085049","0.178507287409854","0.179037914939013","0.180264642863148","0.182303820193835","0.173303856791151","0.17519066630149","","",
