일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2019-09-23",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-23",KCU19,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-23",KOC,"33,500",0,"0.00","33,500","33,500","33,500","452","15,142,000","33,500"
"2019-09-20",KAU18,"34,500",1000,"2.99","34,150","34,500","34,050","1,486","50,849,700","34,219"
"2019-09-20",KAU19,"31,100",250,"0.81","31,100","31,100","30,900","10,584","328,162,400","31,006"
"2019-09-20",KAU20,"31,300",0,"0.00","0","0","0","0","0","0"
"2019-09-20",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-20",KCU19,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-20",KOC,"33,500",2700,"8.77","33,500","33,500","33,500","25,000","837,500,000","33,500"
"2019-09-19",KAU18,"33,500",2200,"7.03","32,000","33,500","32,000","1,788","58,216,000","32,559"
"2019-09-19",KAU19,"30,850",100,"0.33","30,850","30,850","30,850","21,500","667,275,000","31,036"
"2019-09-19",KAU20,"31,300",0,"0.00","0","0","0","0","0","0"
"2019-09-19",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-19",KCU19,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-19",KOC,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-18",KAU18,"31,300",300,"0.97","31,300","31,300","31,300","500","15,650,000","31,300"
"2019-09-18",KAU19,"30,750",100,"0.33","30,650","30,750","30,650","7,000","214,900,000","30,700"
"2019-09-18",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-18",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-18",KCU19,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-18",KOC,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-17",KAU18,"31,000",200,"0.65","31,000","31,000","31,000","7,794","241,614,000","31,000"
"2019-09-17",KAU19,"30,650",150,"0.49","30,550","30,650","30,550","6,500","198,725,000","30,573"
"2019-09-17",KAU20,"28,000",0,"0.00","0","0","0","0","0","0"
"2019-09-17",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-17",KCU19,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-17",KOC,"30,800",300,"0.98","30,800","30,800","30,800","5,000","154,000,000","30,800"
"2019-09-16",KAU18,"30,800",50,"0.16","30,800","30,800","30,800","9,745","300,146,000","30,800"
