일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2021-10-15",KAU21,"30,200",100,"0.33","30,100","30,200","30,000","10,500","315,975,000","30,093"
"2021-10-15",KAU22,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-15",KAU23,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-15",KAU24,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-15",KAU25,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-15",KCU21,"15,450",0,"0.00","0","0","0","0","0","0"
"2021-10-15",KOC20-22,"29,000",-500,"-1.69","29,500","29,500","29,000","7,000","204,700,000","29,243"
"2021-10-15",KOC21-23,"29,000",0,"0.00","29,000","29,000","29,000","20,000","580,000,000","29,000"
"2021-10-15",i-KCU21,"15,450",0,"0.00","0","0","0","0","0","0"
"2021-10-15",i-KOC20-22,"37,600",0,"0.00","0","0","0","0","0","0"
"2021-10-15",i-KOC21-23,"29,000",0,"0.00","0","0","0","0","0","0"
"2021-10-14",KAU21,"30,100",500,"1.69","29,650","30,200","29,650","13,000","389,325,000","29,948"
"2021-10-14",KAU22,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-14",KAU23,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-14",KAU24,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-14",KAU25,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-14",KCU21,"15,450",0,"0.00","0","0","0","0","0","0"
"2021-10-14",KOC20-22,"29,500",100,"0.34","29,400","29,500","29,400","9,000","264,900,000","29,433"
"2021-10-14",KOC21-23,"29,000",0,"0.00","29,000","29,000","29,000","15,000","435,000,000","29,000"
"2021-10-14",i-KCU21,"15,450",0,"0.00","0","0","0","0","0","0"
"2021-10-14",i-KOC20-22,"37,600",0,"0.00","0","0","0","0","0","0"
"2021-10-14",i-KOC21-23,"29,000",0,"0.00","0","0","0","0","0","0"
"2021-10-13",KAU21,"29,600",-500,"-1.66","30,100","30,100","29,500","10,590","316,674,000","29,903"
"2021-10-13",KAU22,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-13",KAU23,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-13",KAU24,"29,400",0,"0.00","0","0","0","0","0","0"
"2021-10-13",KAU25,"29,400",0,"0.00","0","0","0","0","0","0"
